status,row,verdict,detail,stop
complete contract grid,section 1.6(a) deterministic numbers,✅ all reproduce,no mismatch,no
complete contract grid,h2|L1: |Delta_AB| below MDE,🟡 undecidable at this n,|+0.0328| < MDE 0.0645 (n = 30). ⛔ Do NOT write 'there is no effect'. Seeds needed to decide: ~110.,no
complete contract grid,h2|L1: acc(A) ~ acc(E) while acc(B) < acc(E),⛔ STOP,"'the socket adds nothing, training only undoes the damage of a random initialisation' (SPEC 9) — a result about ARCHITECTURE. Judged against MDE(A-E) = 0.0640, not MDE(A-B).",YES
complete contract grid,h2|L1: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,h2|L1: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,h2|L2: acc(A) ~ acc(E) while acc(B) < acc(E),⛔ STOP,"'the socket adds nothing, training only undoes the damage of a random initialisation' (SPEC 9) — a result about ARCHITECTURE. Judged against MDE(A-E) = 0.0991, not MDE(A-B).",YES
complete contract grid,h2|L2: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
complete contract grid,h2|L2: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
complete contract grid,h4|L1: acc(A) ~ acc(E) while acc(B) < acc(E),⛔ STOP,"'the socket adds nothing, training only undoes the damage of a random initialisation' (SPEC 9) — a result about ARCHITECTURE. Judged against MDE(A-E) = 0.0186, not MDE(A-B).",YES
complete contract grid,h4|L1: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
