quantity,in_raport,recomputed,category,agrees,recipe
dataset_hash_ds11,4360508611e0e896,4360508611e0e896,a (deterministic),YES,"manifest of the frozen production dataset, digest recomputed from the arrays by datasets.load_frozen at load time"
pca_hash_ds11,2bf856a6c49a9c38,2bf856a6c49a9c38,a (deterministic),YES,"digest of (pca_components, pca_mean), recomputed at load time"
file_sha256_ds11,5e519b749c22b488,5e519b749c22b488,a (deterministic),YES,"sha256 of the frozen .npz, recomputed from the bytes on disk"
evr1_ds11,0.7585,0.7585335,a (deterministic),YES,"PCA(5, whiten=False, random_state=derive(11,'pca')%2**31) refitted on the 4200 RAW training rows; explained_variance_ratio_[0]"
total_variance_explained_ds11,1.0,1.000000000,a (deterministic),YES,sum of the retained shares evr/evr.sum() from the same refit
g1a_strong_svm_ds11,0.86,0.860000,a (deterministic),YES,"gates.make_svc_strong_model() over G1_SVC_GRID, selected on the 600 val rows, evaluated on the 1200 test rows"
g1b_headroom_ds11,0.096,0.096389,a (deterministic),YES,"acc(strong SVM) - acc(arm E linear) with arm E on the CONTRACT lr grid, training seeds 1-3 (runs/DS2 4.1)"
g1_margin_ds11,0.038,0.038056,a (deterministic),YES,"headroom - G1_MIN_HEADROOM with arm E on the D-30 grid (contract + 0.1), training seeds 1-3 (runs/D30 8)"
ceiling_vs_svm_ds11,0.096,0.096389,a (deterministic),YES,"acc(strong SVM) - acc(arm E linear, contract grid, seeds 1-3)"
ceiling_vs_mlp_ds11,0.213,0.212778,a (deterministic),YES,"acc(best of mlp42/mlp4285 on the same features) - acc(arm E linear); gates.ceiling(), D-28"
socket_params_R2,35,35,a (deterministic),YES,"ansatzes.socket_param_count(5, 2)"
jacobian_rank_L1_R2,35,35,a (deterministic),YES,rank.effective_dimension on the L1 socket circuit at R=2
head_params_linear,6,6,a (deterministic),YES,"5+1, counted on the built model"
head_params_h2,15,15,a (deterministic),YES,"7h+1 at h=2, counted on the built model"
head_params_h4,29,29,a (deterministic),YES,"7h+1 at h=4, counted on the built model"
head_params_h42,295,295,a (deterministic),YES,"7h+1 at h=42, counted on the built model"
quantum_share_linear,85.4,85.3659,a (deterministic),YES,100*35/(35+6)
quantum_share_h2,70.0,70.0000,a (deterministic),YES,100*35/(35+15)
quantum_share_h4,54.7,54.6875,a (deterministic),YES,100*35/(35+29)
quantum_share_h42,10.6,10.6061,a (deterministic),YES,100*35/(35+295)
binomial_se_1200,0.0144,0.0144338,a (deterministic),YES,sqrt(0.25/1200)
mde_constant_n10,0.995,0.994714,a (deterministic),YES,"(t.ppf(.975,9)+t.ppf(.80,9))/sqrt(10) from scipy, never hard-coded"
sigma_seed_A,0.0063,0.0000,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it","DS3, 10 seeds, linear, L1, ds11"
sigma_seed_B,0.0478,0.0654,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3
sigma_seed_E,0.0031,0.0035,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3
sigma_delta_AB,0.0489,0.0654,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3 5.2
sigma_delta_AE,0.0075,0.0035,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3 5.2
sigma_delta_BE,0.0471,,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3 5.2
mde_AB,0.0486,0.6513,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",0.995 * sigma_delta_AB (pilot)
mde_AE,0.0075,0.0352,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",0.995 * sigma_delta_AE (pilot)
tost_power_AE_delta002,1.0,0.7438,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it","D-4, closed on this number"
tost_power_AB_delta002,0.0,0.0093,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",D-4
delta_AB,0.0919,0.1137,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it","DS3 — a RESULT of the pilot, not a reference"
delta_AE,0.06,0.0617,"b (pilot — REPLACED, not confirmed)","n/a — a pilot estimate is REPLACED by the main series, never confirmed against it",DS3 — a RESULT of the pilot
