status,row,verdict,detail,stop
PROVISIONAL — NOT A RESULT,section 1.6(a) deterministic numbers,✅ all reproduce,no mismatch,no
PROVISIONAL — NOT A RESULT,linear|L1: |Delta_AB| below MDE,🟡 undecidable at this n,|+0.1137| < MDE 0.6513 (n = 2). ⛔ Do NOT write 'there is no effect'. Seeds needed to decide: ~5.,no
PROVISIONAL — NOT A RESULT,linear|L1: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
PROVISIONAL — NOT A RESULT,linear|L1: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
PROVISIONAL — NOT A RESULT,linear|L2: |Delta_AB| below MDE,🟡 undecidable at this n,|+0.1404| < MDE 0.3697 (n = 2). ⛔ Do NOT write 'there is no effect'. Seeds needed to decide: ~3.,no
PROVISIONAL — NOT A RESULT,linear|L2: acc(A) ~ acc(E) while acc(B) < acc(E),⛔ STOP,"'the socket adds nothing, training only undoes the damage of a random initialisation' (SPEC 9) — a result about ARCHITECTURE. Judged against MDE(A-E) = 0.1232, not MDE(A-B).",YES
PROVISIONAL — NOT A RESULT,linear|L2: Delta_BD_matched ~ 0,🟡 exploratory,"permitted sentence: 'this quantum socket is a trigonometric feature map with support |omega| <= R, and a classical map of the same support and the same size does the same thing'. ⛔ NOT 'quantumness is useless'.",no
PROVISIONAL — NOT A RESULT,linear|L2: Delta_BD_best < 0,"🟡 exploratory, expected","permitted: 'a correctly sized classical random-feature model beats the frozen quantum socket'. A strong result about BASELINES, not about quantumness — D_best has a different feature count, so the comparison is not matched and that must be written.",no
PROVISIONAL — NOT A RESULT,linear|L1: TOST power for A<->E dropped to 0.744,⛔ STOP and report,D-4 ('TOST stays for Delta_AE') stands on power 1.000. Below ~0.8 that decision has to be reopened — and that is NOT A8's decision.,YES
PROVISIONAL — NOT A RESULT,linear|L2: TOST power for A<->E dropped to 0.187,⛔ STOP and report,D-4 ('TOST stays for Delta_AE') stands on power 1.000. Below ~0.8 that decision has to be reopened — and that is NOT A8's decision.,YES
PROVISIONAL — NOT A RESULT,input coverage,⛔ PROVISIONAL — NOT A RESULT,"missing {'dataset_seeds': [22, 33], 'dilutions': ['h2', 'h4', 'h42'], 'ansatz_levels': [], 'seeds': [3, 4, 5, 6, 7, 8, 9, 10]}. The schema is real, the numbers are not results. Missing rows are reported, never filled in.",no
